epoch,train_accuracy,test_accuracy,train_loss,weight_norm
1,0.009778911247849464,0.010626992210745811,4.576182842254639,8.65700626373291
50,0.042517006397247314,0.00021253984596114606,4.49301815032959,12.984371185302734
100,0.08673469722270966,0.0,4.2930827140808105,22.1004638671875
150,0.11798469722270966,0.0,3.9950778484344482,32.118408203125
200,0.1806972771883011,0.0,3.669102668762207,41.3754997253418
250,0.2663690447807312,0.0,3.3389508724212646,49.68492889404297
300,0.3743622303009033,0.0,3.0114431381225586,57.143802642822266
350,0.4812925159931183,0.0,2.6879937648773193,63.86279296875
400,0.5911989808082581,0.0,2.370119571685791,69.933349609375
450,0.6832482814788818,0.0,2.0598859786987305,75.42403411865234
500,0.7782738208770752,0.0,1.7626723051071167,80.3648452758789
550,0.8577806353569031,0.0,1.48741614818573,84.76871490478516
600,0.9168792366981506,0.00021253984596114606,1.2410242557525635,88.63490295410156
650,0.9572703838348389,0.0004250796919222921,1.0286134481430054,91.94446563720703
700,0.983418345451355,0.0012752391630783677,0.8520188331604004,94.69658660888672
750,0.9936224222183228,0.0023379384074360132,0.7100507020950317,96.91043853759766
800,0.9989370703697205,0.004463336896151304,0.5994629859924316,98.6257095336914
850,1.0,0.007863974198698997,0.5143760442733765,99.90789031982422
900,1.0,0.010839532129466534,0.44950929284095764,100.8296127319336
950,1.0,0.014240169897675514,0.3995208442211151,101.46524047851562
1000,1.0,0.017215728759765625,0.3611612915992737,101.88021087646484
1050,1.0,0.02146652527153492,0.3309912383556366,102.13037109375
1100,1.0,0.025504782795906067,0.30657997727394104,102.26115417480469
1150,1.0,0.030818277969956398,0.28643929958343506,102.30561065673828
1200,1.0,0.035494156181812286,0.26936256885528564,102.29179382324219
1250,1.0,0.03889479115605354,0.25463202595710754,102.24053955078125
1300,1.0,0.04442082718014717,0.24178922176361084,102.16380310058594
1350,1.0,0.05185972526669502,0.23019815981388092,102.06906127929688
1400,1.0,0.05951115861535072,0.21964411437511444,101.96601104736328
1450,1.0,0.06801275163888931,0.20995260775089264,101.85233306884766
1500,1.0,0.0765143483877182,0.20098277926445007,101.73365020751953
1550,1.0,0.08480340242385864,0.19261817634105682,101.61224365234375
1600,1.0,0.0994686484336853,0.18472224473953247,101.49162292480469
1650,1.0,0.10818278789520264,0.17737677693367004,101.37030792236328
1700,1.0,0.11753454059362411,0.17051048576831818,101.24954986572266
1750,1.0,0.12752391397953033,0.16407163441181183,101.13166809082031
1800,1.0,0.13581296801567078,0.158124178647995,101.01473999023438
1850,1.0,0.14877790212631226,0.15236233174800873,100.90069580078125
1900,1.0,0.1611052006483078,0.14689850807189941,100.79022979736328
1950,1.0,0.17364506423473358,0.14171923696994781,100.68251037597656
2000,1.0,0.18894793093204498,0.1366545855998993,100.58082580566406
2050,1.0,0.20042507350444794,0.13186867535114288,100.48074340820312
2100,1.0,0.21317747235298157,0.1272989809513092,100.38247680664062
2150,1.0,0.23230606317520142,0.12304739654064178,100.28308868408203
2200,1.0,0.2505844831466675,0.11912701278924942,100.18699645996094
2250,1.0,0.2641870379447937,0.11531780660152435,100.09526062011719
2300,1.0,0.27523910999298096,0.11172951012849808,100.00959777832031
2350,1.0,0.29224228858947754,0.10827332735061646,99.92926025390625
2400,1.0,0.30754515528678894,0.10490955412387848,99.85277557373047
2450,1.0,0.32072263956069946,0.10171199589967728,99.77864837646484
2500,1.0,0.3366631269454956,0.09870756417512894,99.70740509033203
2550,1.0,0.3532412350177765,0.09593336284160614,99.64097595214844
2600,1.0,0.37066951394081116,0.09333311021327972,99.5813217163086
2650,1.0,0.38724762201309204,0.09083445370197296,99.53044128417969
2700,1.0,0.40446335077285767,0.08836241066455841,99.48872375488281
2750,1.0,0.416790634393692,0.08591219037771225,99.453125
2800,1.0,0.42954304814338684,0.08355674147605896,99.4205551147461
2850,1.0,0.44357067346572876,0.08137379586696625,99.38976287841797
2900,1.0,0.4578108489513397,0.0792563334107399,99.36409759521484
2950,1.0,0.468862920999527,0.07719883322715759,99.34102630615234
3000,1.0,0.4828905463218689,0.07525976747274399,99.32005310058594
3050,1.0,0.49160468578338623,0.07344162464141846,99.30329895019531
3100,1.0,0.5052072405815125,0.07171817123889923,99.29159545898438
3150,1.0,0.516684353351593,0.07007154822349548,99.28722381591797
3200,1.0,0.5307120084762573,0.06850189715623856,99.2891845703125
3250,1.0,0.542614221572876,0.06696005910634995,99.29568481445312
3300,1.0,0.5492029786109924,0.06549547612667084,99.3084945678711
3350,1.0,0.5604676008224487,0.06407953053712845,99.32869720458984
3400,1.0,0.568969190120697,0.06267721205949783,99.3547134399414
3450,1.0,0.5795961618423462,0.06132243201136589,99.385986328125
3500,1.0,0.586609959602356,0.060044534504413605,99.41935729980469
3550,1.0,0.5936238169670105,0.05878588557243347,99.45806884765625
3600,1.0,0.6004250645637512,0.0575612373650074,99.50079345703125
3650,1.0,0.6059511303901672,0.05637121573090553,99.54703521728516
3700,1.0,0.6146652698516846,0.05521509051322937,99.59630584716797
3750,1.0,0.6197662353515625,0.05406790226697922,99.64678192138672
3800,1.0,0.6248671412467957,0.05293655768036842,99.69772338867188
3850,1.0,0.6350690722465515,0.05180845037102699,99.74922943115234
3900,1.0,0.6429330706596375,0.05068519338965416,99.80082702636719
3950,1.0,0.6490967273712158,0.049609001725912094,99.85057830810547
4000,1.0,0.6580233573913574,0.0485580712556839,99.90003204345703
4050,1.0,0.6652497053146362,0.047516610473394394,99.94941711425781
4100,1.0,0.6735388040542603,0.04648374766111374,99.99901580810547
4150,1.0,0.6797024607658386,0.045496467500925064,100.04632568359375
4200,1.0,0.6865037083625793,0.0445307195186615,100.09321594238281
4250,1.0,0.6950052976608276,0.04356975853443146,100.13951110839844
4300,1.0,0.7058448195457458,0.042621295899152756,100.18294525146484
4350,1.0,0.7137088179588318,0.041699424386024475,100.22350311279297
4400,1.0,0.7200850248336792,0.04078930243849754,100.26409912109375
4450,1.0,0.7256110310554504,0.03990829735994339,100.30445861816406
4500,1.0,0.7330499291419983,0.039031073451042175,100.34333038330078
4550,1.0,0.7430393099784851,0.038178034126758575,100.37864685058594
4600,1.0,0.750478208065033,0.03733623027801514,100.41365051269531
4650,1.0,0.7579171061515808,0.0365140400826931,100.44959259033203
4700,1.0,0.7672688364982605,0.035701751708984375,100.48565673828125
4750,1.0,0.7736450433731079,0.03490256518125534,100.52103424072266
4800,1.0,0.7815090417861938,0.03411227837204933,100.55499267578125
4850,1.0,0.789372980594635,0.03335130959749222,100.58789825439453
4900,1.0,0.7953241467475891,0.03259671851992607,100.61766052246094
4950,1.0,0.7985122203826904,0.03185048699378967,100.64334869384766
5000,1.0,0.8065887093544006,0.031111283227801323,100.66490173339844
5050,1.0,0.8136025667190552,0.030399682000279427,100.68289184570312
5100,1.0,0.8218916058540344,0.029727419838309288,100.69868469238281
5150,1.0,0.8272051215171814,0.02910137176513672,100.71558380126953
5200,1.0,0.8312433362007141,0.02850176766514778,100.73648834228516
5250,1.0,0.8399574756622314,0.027910858392715454,100.7624282836914
5300,1.0,0.8439957499504089,0.027340233325958252,100.79166412353516
5350,1.0,0.8531349897384644,0.026790933683514595,100.82322692871094
5400,1.0,0.856960654258728,0.026254873722791672,100.85691833496094
5450,1.0,0.8603613376617432,0.02573520876467228,100.89163208007812
5500,1.0,0.8658873438835144,0.025228111073374748,100.93029022216797
5550,1.0,0.8705632090568542,0.024737423285841942,100.9699478149414
5600,1.0,0.8754516243934631,0.024270175024867058,101.01223754882812
5650,1.0,0.8773645162582397,0.02379479445517063,101.05681610107422
5700,1.0,0.8780021071434021,0.023337077349424362,101.10238647460938
5750,1.0,0.8797024488449097,0.02290382981300354,101.14856719970703
5800,1.0,0.8811902403831482,0.022461596876382828,101.19847869873047
5850,1.0,0.8850159645080566,0.022026756778359413,101.2477035522461
5900,1.0,0.8873538970947266,0.02160026878118515,101.29664611816406
5950,1.0,0.890967071056366,0.021172311156988144,101.34527587890625
6000,1.0,0.8922423124313354,0.02076643891632557,101.3918685913086
